P,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,group,Q57,correct,sound solution,issue_number
P13,11/4/22 15:59,11/4/22 17:11,IP Address,134.114.101.49,100,4312,TRUE,11/4/22 17:11,R_3NPsBIGs8IZTzCd,,,,,351.872,-1.116.596,anonymous,EN,Control,"Testing,Input and Output",0,0,5485
P14,11/10/22 13:00,11/10/22 14:28,IP Address,134.114.101.49,100,5258,TRUE,11/10/22 14:28,R_szXHV76sfyugGZP,,,,,351.872,-1.116.596,anonymous,EN,Control,"Testing,Input and Output",0,1,5069
P15,11/23/23 8:53,11/23/23 11:07,IP Address,68.2.107.75,100,8048,TRUE,11/23/23 11:07,R_r3zuJXRMfAXMhwd,,,,,334.935,-1.119.211,anonymous,EN,Treatment,"User Interface (UI),Input and Output",0,0,5194
P16,12/9/23 9:01,12/9/23 10:53,IP Address,68.2.107.75,100,6731,TRUE,12/9/23 10:53,R_vAhCoDpCpXELiSZ,,,,,334.935,-1.119.211,anonymous,EN,Treatment,"User Interface (UI),Network Development,Input and Output",0,0,5069
P17,12/9/23 17:16,12/9/23 20:24,IP Address,68.2.107.75,100,11265,TRUE,12/9/23 20:24,R_1cY2aaiebkL0OFA,,,,,334.935,-1.119.211,anonymous,EN,Control,"User Interface (UI),Testing,Input and Output",0,0,5194
P18,1/16/24 17:04,1/16/24 17:39,IP Address,137.152.185.6,100,2097,TRUE,1/16/24 17:39,R_7gR3xiXp1Nk8qD7,,,,,335.141,-1.121.235,anonymous,EN,Control,"Logging,Testing",0,0,5679
P19,1/17/24 17:09,1/17/24 17:57,IP Address,137.152.185.6,100,2877,TRUE,1/17/24 17:57,R_7pGzgrYBEmBCmLW,,,,,335.141,-1.121.235,anonymous,EN,Treatment,"Google Common,Input and Output",1,1,5485
P20,1/19/24 15:04,1/19/24 15:50,IP Address,137.152.185.6,100,2766,TRUE,1/19/24 15:50,R_7dy5fFjZNNIPGzs,,,,,335.141,-1.121.235,anonymous,EN,Control,Input and Output,1,1,5485
P21,1/21/24 15:24,1/21/24 16:53,IP Address,97.124.12.110,100,5374,TRUE,1/21/24 16:53,R_3MItxyF2loCjx3X,,,,,332.421,-1.116.412,anonymous,EN,Treatment,"User Interface (UI),Logging,Testing,Network Development",0,1,4612
P22,3/16/24 19:18,3/16/24 20:55,IP Address,157.56.166.1,100,5830,TRUE,3/16/24 20:55,R_50MMwOcBNLSqztx,,,,,371.835,-1.217.714,anonymous,EN,Control,"Logging,Testing,Network Development",1,1,5485
P23,3/30/24 15:55,3/30/24 17:05,IP Address,157.56.166.1,100,4159,TRUE,3/30/24 17:05,R_1NOowhdc33vavqW,,,,,371.835,-1.217.714,anonymous,EN,Control,"User Interface (UI),Testing",1,1,5485
P24,5/5/24 18:14,5/5/24 18:58,IP Address,157.56.166.1,100,2642,TRUE,5/5/24 18:58,R_7UVL0tgOuPNt6ko,,,,,371.835,-1.217.714,anonymous,EN,Treatment,"Logging,Testing,Network Development",1,1,5485
P25,5/22/24 20:02,5/22/24 21:35,IP Address,157.56.166.1,100,5597,TRUE,5/22/24 21:35,R_34IP9yBTsTgC3sk,,,,,371.835,-1.217.714,anonymous,EN,Treatment,"Logging,Google Common,Input and Output",1,1,5194
